seed,plan_cost,naive_plan_cost,exec_us,rows,lineage,query
819,109515,225610,511,500,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id, t1.id, t1.region_id
FROM departments AS t0 RIGHT JOIN customers AS t1 ON t0.id = t1.id;"
820,1034588,1199375,3651,4960,transformation 2 FilterSplit: 2; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.id, orders.customer_id, COUNT(orders.id) AS c5012, SUM(orders.customer_id)
FROM orders
WHERE ((orders.id != 129 OR orders.customer_id BETWEEN 72 AND 352) AND orders.customer_id NOT IN (191, 289, 289, 404))
GROUP BY orders.id, orders.customer_id;"
821,5866,12760,247,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 3,"SELECT departments.id, users.id AS c1842, users.age
FROM users FULL JOIN departments ON users.id = departments.id RIGHT JOIN regions ON departments.id = regions.id;"
822,2960,2960,203,10,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, COUNT(t0.id), SUM(t0.id)
FROM regions AS t0
GROUP BY t0.id;"
823,318040,693140,1917,1,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT employees.department_id, COUNT(employees.department_id)
FROM employees CROSS JOIN customers
WHERE (customers.id != 157 AND (customers.id NOT BETWEEN 13 AND 55 AND employees.department_id = 34))
GROUP BY employees.department_id;"
824,4927,22342,314,3,transformation 0 JoinCommutativity: 2; transformation 1 JoinAssociativity: 3; transformation 5 FilterPushdownThroughJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.note, t0.id, t2.id
FROM departments AS t0 CROSS JOIN markets AS t1 JOIN users AS t2 ON t0.id = t2.id
WHERE t0.id IN (1, 33)
ORDER BY t0.id DESC, t1.note ASC;"
825,4099,6092,224,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT users.age, markets.note, COUNT(markets.id)
FROM markets LEFT JOIN users ON markets.id = users.id
GROUP BY users.age, markets.note
ORDER BY users.age ASC;"
826,3473,5326,262,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT employees.department_id, markets.note AS c1405, departments.id
FROM markets LEFT JOIN employees ON markets.id = employees.id LEFT JOIN departments ON employees.id = departments.id;"
827,2347,3832,230,3,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.id, employees.id
FROM markets JOIN employees ON markets.id = employees.id
WHERE employees.department_id IS NOT NULL;"
828,1048,1048,249,4,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT departments.id, COUNT(*) AS c4059, SUM(departments.id) AS c8530
FROM departments
WHERE ((departments.id > 3 OR departments.id IN (2)) OR departments.id IN (3))
GROUP BY departments.id;"
829,422,422,164,2,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT markets.id, markets.region, markets.note
FROM markets
WHERE (markets.note != 'AMERICA' AND markets.region = 'AMERICA');"
830,3256,3256,151,11,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id
FROM employees AS t0
GROUP BY t0.id;"
831,1975000,1975000,1793,5000,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.id
FROM orders
GROUP BY orders.id;"
832,677748,1553466,960,3,transformation 0 JoinCommutativity: 1; transformation 10 ProjectionPushdownThroughJoin: 6; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 3; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT orders.customer_id AS c5347, markets.id AS c3605, orders.id
FROM orders JOIN markets ON orders.id = markets.id JOIN regions ON markets.id = regions.id;"
833,8121,22900,335,15,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT t0.note, t0.id
FROM markets AS t0 CROSS JOIN departments AS t1 LEFT JOIN users AS t2 ON t1.id = t2.id
ORDER BY t0.note ASC;"
834,744100,744100,1011,5500,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1,"SELECT customers.id, employees.id, customers.region_id
FROM employees CROSS JOIN customers;"
835,3413,6866,221,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 3,"SELECT employees.id, books.price, departments.id
FROM employees FULL JOIN departments ON employees.id = departments.id JOIN books ON departments.id = books.id;"
836,1278,1518,229,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT books.id, markets.note
FROM books JOIN markets ON books.id = markets.id
WHERE (books.id > 1 OR markets.note != 'unknown')
ORDER BY books.id ASC, markets.note ASC;"
837,3786,5144,300,9,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT books.price, markets.id, books.id AS c9062
FROM markets LEFT JOIN employees ON markets.id = employees.id CROSS JOIN books;"
838,1313696,1558426,19341,85000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.region, markets.id AS c8264
FROM orders FULL JOIN markets ON orders.id = markets.id CROSS JOIN users;"
839,112105,405110,489,500,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT regions.id
FROM customers LEFT JOIN regions ON customers.id = regions.id FULL JOIN departments ON regions.id = departments.id;"
840,1220,1220,149,10,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT regions.id
FROM regions;"
841,111333,403533,398,0,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT markets.note, customers.id, regions.id
FROM regions FULL JOIN customers ON regions.id = customers.id JOIN markets ON customers.id = markets.id
WHERE ((customers.region_id = 41 OR regions.id IS NULL) AND (customers.id IN (32, 65, 97, 184) OR markets.id <= 13))
ORDER BY markets.note DESC, customers.id ASC, regions.id DESC;"
842,1822,1822,165,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.age, t0.id AS c599
FROM users AS t0
WHERE (t0.id IN (5) AND t0.age < 88);"
843,15036300,31386300,34689,149880,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 5 ImplementCrossJoin: 1,"SELECT books.id, orders.id, books.price
FROM books CROSS JOIN orders CROSS JOIN regions
WHERE orders.id NOT BETWEEN 50 AND 53;"
844,2988,4903,368,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 4; transformation 7 FilterToJoinPredicate: 1; transformation 11 OuterJoinToInner: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT books.price, COUNT(employees.department_id) AS c475
FROM employees RIGHT JOIN books ON employees.id = books.id RIGHT JOIN markets ON books.id = markets.id
WHERE (employees.id < 3 AND (employees.department_id IS NULL OR markets.note = 'unknown'))
GROUP BY books.price;"
845,422,422,183,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT markets.note, markets.region AS c5409
FROM markets
WHERE markets.id IS NULL;"
846,54514,54514,277,26,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT customers.region_id, customers.id
FROM customers
WHERE (customers.region_id = 6 AND customers.id NOT BETWEEN 29 AND 200);"
847,2046000,2046000,1327,10,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.region_id, COUNT(customers.region_id)
FROM regions CROSS JOIN customers
GROUP BY customers.region_id;"
848,67736,89716,348,16,transformation 0 JoinCommutativity: 1; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id, t1.age AS c2807
FROM regions AS t0 CROSS JOIN users AS t1
WHERE ((t0.id NOT IN (10) OR t1.age = 21) OR t1.id != 15)
GROUP BY t1.id, t1.age
ORDER BY t1.age ASC;"
849,422,422,126,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT books.id AS c2855, books.price AS c862
FROM books
WHERE books.id IN (3);"
850,3381,5636,175,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1,"SELECT users.age, books.price, books.id
FROM users JOIN books ON users.id = books.id;"
851,1319042,4017922,1570,10,transformation 0 JoinCommutativity: 2; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT orders.id
FROM regions LEFT JOIN orders ON regions.id = orders.id CROSS JOIN departments
WHERE ((departments.id <= 8 AND orders.id <= 71) OR regions.id != 7)
GROUP BY orders.id
ORDER BY orders.id DESC;"
852,5210,29176,464,15,transformation 0 JoinCommutativity: 3; transformation 1 JoinAssociativity: 3; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 4; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT employees.id AS c5743, regions.id AS c3685
FROM books CROSS JOIN employees RIGHT JOIN regions ON employees.id = regions.id
WHERE (employees.department_id != 5 AND employees.id IS NOT NULL);"
853,3730,6250,272,10,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT t1.id, t0.id AS c1844
FROM markets AS t0 CROSS JOIN regions AS t1
WHERE t0.region != 'AMERICA';"
854,681154,6452074,926,17,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1,"SELECT users.id AS c8433, orders.id, users.age AS c5978
FROM orders JOIN users ON orders.id = users.id;"
855,822,822,148,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.note, t0.region
FROM markets AS t0
GROUP BY t0.note, t0.region;"
856,1222,1222,220,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT employees.department_id
FROM employees
WHERE (employees.department_id > 35 AND employees.id = 2);"
857,5837,15576,238,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT regions.id AS c3241, users.id, users.age
FROM regions LEFT JOIN users ON regions.id = users.id
WHERE ((users.age != 64 OR users.age >= 33) OR regions.id > 9);"
858,113694,234290,520,393,implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT customers.id
FROM customers FULL JOIN departments ON customers.id = departments.id FULL JOIN users ON customers.id = users.id
WHERE ((users.id != 8 OR departments.id IS NOT NULL) OR customers.id > 122)
GROUP BY customers.id;"
859,4668,7332,274,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT regions.id, books.id, COUNT(*) AS c2626
FROM employees LEFT JOIN books ON employees.id = books.id RIGHT JOIN regions ON employees.id = regions.id
GROUP BY regions.id, books.id;"
860,788,788,190,2,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT departments.id
FROM departments
WHERE departments.id <= 2
ORDER BY departments.id ASC;"
861,54051700,54051700,46969,500,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.customer_id
FROM users AS t0 CROSS JOIN orders AS t1
GROUP BY t1.customer_id
ORDER BY t1.customer_id DESC;"
862,1308778,4353954,1550,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT t0.department_id
FROM employees AS t0 LEFT JOIN orders AS t1 ON t0.id = t1.id RIGHT JOIN markets AS t2 ON t1.id = t2.id
WHERE ((t2.note != 'Old World' OR t0.department_id <= 12) OR (t0.department_id != 35 OR t1.id NOT BETWEEN 4 AND 78));"
863,1319320,18364979,1814,32,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT users.id, markets.id
FROM markets CROSS JOIN users LEFT JOIN orders ON markets.id = orders.id
WHERE markets.id > 1
GROUP BY users.id, markets.id;"
864,3589,5844,218,0,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id, t1.price AS c2144
FROM users AS t0 JOIN books AS t1 ON t0.id = t1.id
WHERE (t0.age IS NULL OR t0.age = 21)
GROUP BY t1.id, t1.price
ORDER BY t1.id ASC, t1.price DESC;"
865,12026,12026,322,33,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT books.price, employees.id AS c7767, COUNT(books.price) AS c6906, COUNT(*)
FROM books CROSS JOIN employees
GROUP BY books.price, employees.id;"
866,1875,1875,156,11,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.department_id, t0.id
FROM employees AS t0
WHERE t0.department_id IS NOT NULL
ORDER BY t0.department_id ASC, t0.id DESC;"
867,2475,2475,146,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT users.age AS c9309, users.id
FROM users
WHERE users.age IN (45, 75, 88)
ORDER BY users.id DESC, users.age DESC;"
868,3377,8272,260,1,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 3; transformation 9 FilterLiftThroughJoin: 3; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1,"SELECT users.id
FROM departments FULL JOIN users ON departments.id = users.id
WHERE (departments.id >= 3 AND (users.age = 11 OR users.id > 15));"
869,110128,401488,277,2,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT customers.id AS c2844
FROM regions LEFT JOIN customers ON regions.id = customers.id
WHERE regions.id IN (6, 9, 32, 41);"
870,3042,3042,142,16,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT users.age
FROM users
WHERE (users.age IN (3, 50, 69, 95) OR users.id != 13);"
871,111030,401610,321,1,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT regions.id AS c476, customers.region_id AS c8704, customers.id
FROM customers RIGHT JOIN regions ON customers.id = regions.id
WHERE (customers.region_id >= 66 OR regions.id = 6);"
872,97942,671362,480,187,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT users.age, users.id AS c6703
FROM users JOIN customers ON users.id = customers.id CROSS JOIN employees;"
873,366,366,125,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT markets.id, markets.region
FROM markets;"
874,6031,12760,219,17,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT t2.id AS c1600, t1.age AS c5206
FROM departments AS t0 RIGHT JOIN users AS t1 ON t0.id = t1.id LEFT JOIN regions AS t2 ON t0.id = t2.id;"
875,678740,1552690,1047,15,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT markets.id
FROM markets JOIN orders ON markets.id = orders.id CROSS JOIN departments;"
876,677111,1551916,1030,5,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT books.id, orders.customer_id, books.price
FROM books JOIN orders ON books.id = orders.id FULL JOIN departments ON orders.id = departments.id;"
877,1220,1220,128,10,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT regions.id
FROM regions;"
878,3215,5194,317,3,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 4; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 3,"SELECT markets.note AS c9740, departments.id
FROM markets JOIN regions ON markets.id = regions.id LEFT JOIN departments ON markets.id = departments.id
WHERE (markets.note != 'North, South' OR markets.region IS NOT NULL);"
879,683000,683000,1259,3,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.customer_id
FROM orders AS t0
WHERE t0.id IN (24, 100, 169);"
880,110500,110500,284,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id
FROM customers
ORDER BY customers.id DESC;"
881,4422165,2185552525,29179,55000,transformation 0 JoinCommutativity: 1; transformation 1 JoinAssociativity: 2; transformation 5 FilterPushdownThroughJoin: 1; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.id, employees.id AS c6235, SUM(employees.department_id)
FROM orders CROSS JOIN customers RIGHT JOIN employees ON customers.id = employees.id
WHERE customers.id <= 83
GROUP BY orders.id, employees.id;"
882,610000,610000,1363,5000,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.customer_id AS c4872, t0.id AS c6904
FROM orders AS t0;"
883,228608,3911463,755,0,transformation 0 JoinCommutativity: 1; transformation 1 JoinAssociativity: 2; transformation 5 FilterPushdownThroughJoin: 1; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id AS c9594, departments.id
FROM customers CROSS JOIN users RIGHT JOIN departments ON users.id = departments.id
WHERE customers.region_id = 58
GROUP BY customers.id, departments.id;"
884,748788,4401488,1078,0,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 2,"SELECT regions.id AS c6190
FROM customers JOIN regions ON customers.id = regions.id JOIN orders ON customers.id = orders.id
WHERE orders.id IN (23, 82, 167, 183);"
885,4876,15210,221,15,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id, t1.age AS c5455, t1.id AS c7095
FROM regions AS t0 RIGHT JOIN users AS t1 ON t0.id = t1.id
WHERE t1.age >= 11;"
886,1732,1732,163,3,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM regions AS t0
WHERE (t0.id IS NULL OR (t0.id > 7 AND t0.id IS NOT NULL));"
887,5293,12168,184,6,transformation 7 FilterToJoinPredicate: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT employees.id AS c2880, employees.department_id, COUNT(regions.id) AS c3583, SUM(employees.department_id)
FROM regions JOIN employees ON regions.id = employees.id
WHERE ((employees.department_id >= 22 OR regions.id IS NOT NULL) OR (employees.id >= 2 AND employees.id < 66))
GROUP BY employees.id, employees.department_id;"
888,1220,1220,135,10,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT regions.id AS c6441
FROM regions;"
889,8756,12584,373,12,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t2.id AS c1119, t1.note AS c6695, COUNT(*) AS c7579, COUNT(*)
FROM employees AS t0 CROSS JOIN markets AS t1 LEFT JOIN books AS t2 ON t0.id = t2.id
GROUP BY t2.id, t1.note;"
890,563,563,192,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, t0.note, COUNT(*) AS c5980
FROM markets AS t0
WHERE (t0.region != 'AMERICA' AND (t0.note NOT IN ('AMERICA') OR t0.region != 'AMERICA'))
GROUP BY t0.id, t0.note;"
891,9222,17622,267,20,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT t2.region, t1.id
FROM regions AS t0 CROSS JOIN departments AS t1 LEFT JOIN markets AS t2 ON t1.id = t2.id
WHERE ((t2.note NOT IN ('North, South', 'North, South') OR t2.region IS NOT NULL) AND (t2.id IN (1, 3) AND t2.region IN ('AMERICA', 'EUROPE')));"
892,366,366,122,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT markets.id, markets.note
FROM markets;"
893,945706300,945706300,794257,7500000,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 2,"SELECT t0.region, t2.customer_id
FROM markets AS t0 CROSS JOIN customers AS t1 CROSS JOIN orders AS t2;"
894,4121,8425,210,5,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT users.id, users.age, departments.id
FROM users RIGHT JOIN departments ON users.id = departments.id
ORDER BY users.id DESC, departments.id DESC;"
895,422822,424210,1309,5500,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT employees.department_id, customers.region_id, customers.id
FROM books RIGHT JOIN employees ON books.id = employees.id CROSS JOIN customers
ORDER BY employees.department_id DESC;"
